"Study_old","Study","ID","Description","NES","pvalue","p.adjust","GeneRatio","BgRatio","geneID","geneName","Count","BG","Freq","total_study","celltype","regulators","-log10(Padj)","Study_1","Study_2","Cell_line"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","KEGG_hsa05168","Herpes simplex virus 1 
infection",4.86494142490452,3.38941294038294e-05,0.00174460616070266,"11/86","497/17332","3105/567/6892/6891/6890/841/8772/441234/6772/5451/3716","HLA-A/B2M/TAPBP/TAP2/TAP1/CASP8/FADD/ZNF716/STAT1/POU2F1/JAK1",11,497,19,19,"Tcells","pos",2.75830259823962,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","KEGG_hsa05164","Influenza A",2.07281664211603,0.00165427649839703,0.0264256409614629,"5/86","172/17332","71/841/8772/6772/3716","ACTG1/CASP8/FADD/STAT1/JAK1",5,172,18,19,"Tcells","pos",1.57797446995618,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","KEGG_hsa05169","Epstein-Barr virus infection",5.18254797652145,4.68196797638128e-09,6.19691904302466e-07,"11/86","202/17332","3105/567/965/6892/6891/6890/8737/841/8772/6772/3716","HLA-A/B2M/CD58/TAPBP/TAP2/TAP1/RIPK1/CASP8/FADD/STAT1/JAK1",11,202,18,19,"Tcells","pos",6.20782417746616,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","BIOCARTA_IFNG_PATHWAY","IFNG PATHWAY",1.13601981447915,0.000360343592265035,0.010946175024051,"2/86","6/17332","6772/3716","STAT1/JAK1",2,6,16,19,"Tcells","pos",1.96073761197902,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","KEGG_hsa04217","Necroptosis",2.15591873687318,0.00116851143444828,0.0220944049799251,"5/86","159/17332","8737/841/8772/6772/3716","RIPK1/CASP8/FADD/STAT1/JAK1",5,159,16,19,"Tcells","pos",1.65571768984347,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_877300","Interferon gamma signaling",3.33665949626401,0.000880333060336386,0.0183287321438576,"4/86","86/17332","3105/567/6772/3716","HLA-A/B2M/STAT1/JAK1",4,86,16,19,"Tcells","pos",1.73686757551625,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","KEGG_hsa05163","Human cytomegalovirus infection",4.93672598866168,1.66564587734479e-07,1.34193122205213e-05,"10/86","225/17332","3105/567/6892/6891/1399/6890/8737/841/8772/3716","HLA-A/B2M/TAPBP/TAP2/CRKL/TAP1/RIPK1/CASP8/FADD/JAK1",10,225,15,19,"Tcells","pos",4.87226974247454,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","KEGG_hsa05167","Kaposi sarcoma-associated herpesvirus infection",2.79841091159326,0.00279302214874371,0.0340491450106717,"5/86","194/17332","3105/841/8772/6772/3716","HLA-A/CASP8/FADD/STAT1/JAK1",5,194,15,19,"Tcells","pos",1.46789378894383,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","BIOCARTA_IFNA_PATHWAY","IFNA PATHWAY",1.13601981447915,0.000856483032028607,0.0183287321438576,"2/86","9/17332","6772/3716","STAT1/JAK1",2,9,14,19,"Tcells","pos",1.73686757551625,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","BIOCARTA_IL22BP_PATHWAY","IL22BP PATHWAY",1.13601981447915,0.000856483032028607,0.0183287321438576,"2/86","9/17332","6772/3716","STAT1/JAK1",2,9,14,19,"Tcells","pos",1.73686757551625,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
