ID,Description,Celltype,Regulators
KEGG_hsa04140,Autophagy,Tcells,neg
GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,REGULATION OF RESPONSE TO CYTOKINE STIMULUS,Tcells,neg
GOBP_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,REGULATION OF APOPTOTIC SIGNALING PATHWAY,Tcells,neg
GOBP_LIPOPROTEIN_BIOSYNTHETIC_PROCESS,LIPOPROTEIN BIOSYNTHETIC PROCESS,Tcells,neg
REACTOME_877300,Interferon gamma signaling,Tcells,pos
KEGG_hsa04217,Necroptosis,Tcells,pos
REACTOME_983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",Tcells,pos
PID_TNF_PATHWAY,TNF PATHWAY,Tcells,pos
GOBP_PROTEIN_METHYLATION,PROTEIN METHYLATION,MHCregulators,neg
GOBP_HISTONE_UBIQUITINATION,HISTONE UBIQUITINATION,MHCregulators,neg
GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,CARBOHYDRATE BIOSYNTHETIC PROCESS,MHCregulators,neg
GOBP_NEGATIVE_REGULATION_OF_TOR_SIGNALING,NEGATIVE REGULATION OF TOR SIGNALING,MHCregulators,neg
GOBP_GLYCOSYLATION,GLYCOSYLATION,MHCregulators,neg
GOBP_MACROAUTOPHAGY,MACROAUTOPHAGY,MHCregulators,neg
REACTOME_983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",MHCregulators,pos
REACTOME_877300,Interferon gamma signaling,MHCregulators,pos
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,RNA SPLICING VIA TRANSESTERIFICATION REACTIONS,MHCregulators,pos
BIOCARTA_IFNA_PATHWAY,IFNA PATHWAY,MHCregulators,pos
REACTOME_532668,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,MHCregulators,pos
GOBP_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR,NKcells,pos
PID_TELOMERASE_PATHWAY,TELOMERASE PATHWAY,NKcells,pos
REACTOME_877300,Interferon gamma signaling,NKcells,neg
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN,ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN,NKcells,neg
BIOCARTA_IFNA_PATHWAY,IFNA PATHWAY,GammadeltaTcells,pos
GOBP_TRANSCRIPTION_INITIATION_FROM_RNA_POLYMERASE_III_PROMOTER,TRANSCRIPTION INITIATION FROM RNA POLYMERASE III PROMOTER,GammadeltaTcells,neg
GOBP_CELLULAR_AMINO_ACID_METABOLIC_PROCESS,CELLULAR AMINO ACID METABOLIC PROCESS,GammadeltaTcells,neg
REACTOME_611105,Respiratory electron transport,Macrophages,neg
REACTOME_4085001,Sialic acid metabolism,Macrophages,neg
REACTOME_6787450,tRNA modification in the mitochondrion,Macrophages,neg
GOBP_POSITIVE_REGULATION_OF_DEPHOSPHORYLATION,POSITIVE REGULATION OF DEPHOSPHORYLATION,Macrophages,neg
BIOCARTA_HSWI_SNF_PATHWAY,HSWI SNF PATHWAY,Macrophages,neg
PID_REG_GR_PATHWAY,REG GR PATHWAY,Macrophages,pos
GOBP_MYELOID_CELL_HOMEOSTASIS,MYELOID CELL HOMEOSTASIS,Macrophages,pos
REACTOME_9013407,RHOH GTPase cycle,Macrophages,pos
