"ID","Description","NES","pvalue","p.adjust","GeneRatio","BgRatio","geneID","geneName","Count","BG","Study","Freq","total_study","Celltype","Regulators","logp","pathway","pathway_new"
"KEGG_hsa04217","Necroptosis",-2.15591873687318,0.00116851143444828,0.0220944049799251,"5/86","159/17332","8737/841/8772/6772/3716","RIPK1/CASP8/FADD/STAT1/JAK1",5,159,"Crossvalidation_Tcells_2017_Nature_Patel_100_Mel624pos100",16,19,"Tcells","pos",1.65571768984347,"Necroptosis","Necroptosis"
"KEGG_hsa04217","Necroptosis",15.4368432096362,3.8934807470836e-06,0.000275463762856165,"7/71","159/17332","3716/6772/3460/3459/3717/3454/3455","JAK1/STAT1/IFNGR2/IFNGR1/JAK2/IFNAR1/IFNAR2",7,159,"Crossvalidation_Tcells_2018_Science_Pan_100_B16_OT_Ipos100",16,19,"Tcells","pos",3.55993552431383,"Necroptosis","Necroptosis"
"KEGG_hsa04217","Necroptosis",7.88483646882011,8.46230068186791e-07,5.765647531246e-05,"5/20","159/17332","3460/3459/3717/3716/6772","IFNGR2/IFNGR1/JAK2/JAK1/STAT1",5,159,"Crossvalidation_Tcells_2018_Science_Pan_100_B16_Pmel_1pos100",16,19,"Tcells","pos",4.23915191066681,"Necroptosis","Necroptosis"
"KEGG_hsa04217","Necroptosis",-3.21367342569008,1.29804057859157e-05,0.00294655211340287,"7/85","159/17332","3716/3460/3459/6772/3717/7132/8737","JAK1/IFNGR2/IFNGR1/STAT1/JAK2/TNFRSF1A/RIPK1",7,159,"Crossvalidation_Tcells_2018_ScienceImmunology_Kearney_100_B16_perforin_OTIpos100",16,19,"Tcells","pos",2.53068587346815,"Necroptosis","Necroptosis"
"KEGG_hsa04217","Necroptosis",-3.48044374104664,1.58223954202593e-06,0.000738905866126111,"8/89","159/17332","841/3716/7132/8717/8878/9825/6772/3455","CASP8/JAK1/TNFRSF1A/TRADD/SQSTM1/SPATA2/STAT1/IFNAR2",8,159,"Crossvalidation_Tcells_2018_ScienceImmunology_Kearney_100_MC38_IgG_OTIpos100",16,19,"Tcells","pos",3.13141088559161,"Necroptosis","Necroptosis"
"KEGG_hsa04217","Necroptosis",NA,1.72320591903933e-06,0.000775442663567698,"8/90","159/17332","8717/7132/8772/3716/841/8878/637/3459","TRADD/TNFRSF1A/FADD/JAK1/CASP8/SQSTM1/BID/IFNGR1",8,159,"Crossvalidation_Tcells_2018_ScienceImmunology_Kearney_100_MC38_perforinko_OTIpos100",16,19,"Tcells","pos",3.11045030851024,"Necroptosis","Necroptosis"
"KEGG_hsa04217","Necroptosis",15.9183375068371,7.75508773499629e-10,1.79142526678414e-07,"11/92","159/17332","3460/6772/3459/3716/3717/3455/6773/7132/5610/10379/7297","IFNGR2/STAT1/IFNGR1/JAK1/JAK2/IFNAR2/STAT2/TNFRSF1A/EIF2AK2/IRF9/TYK2",11,159,"Crossvalidation_Tcells_2020_Nature_Lawson_100_4t1HApos100",16,19,"Tcells","pos",6.7468013046624,"Necroptosis","Necroptosis"
"KEGG_hsa04217","Necroptosis",14.4303495017504,0.000139214809984702,0.00818185326110093,"6/86","159/17332","3459/3716/6772/3717/3460/6773","IFNGR1/JAK1/STAT1/JAK2/IFNGR2/STAT2",6,159,"Crossvalidation_Tcells_2020_Nature_Lawson_100_B16OVApos100",16,19,"Tcells","pos",2.08714831369925,"Necroptosis","Necroptosis"
"KEGG_hsa04217","Necroptosis",12.0698131968409,1.48317409135818e-08,2.55600335077394e-06,"10/94","159/17332","3716/6772/3459/3717/3460/6773/10379/3454/3455/7132","JAK1/STAT1/IFNGR1/JAK2/IFNGR2/STAT2/IRF9/IFNAR1/IFNAR2/TNFRSF1A",10,159,"Crossvalidation_Tcells_2020_Nature_Lawson_100_Ct26HApos100",16,19,"Tcells","pos",5.59243858117808,"Necroptosis","Necroptosis"
"KEGG_hsa04217","Necroptosis",8.12754929151161,3.15149295464134e-12,1.62932185754957e-09,"13/94","159/17332","3716/3459/3717/841/6772/3460/6773/3454/7132/355/3455/8772/8717","JAK1/IFNGR1/JAK2/CASP8/STAT1/IFNGR2/STAT2/IFNAR1/TNFRSF1A/FAS/IFNAR2/FADD/TRADD",13,159,"Crossvalidation_Tcells_2020_Nature_Lawson_100_Emt6HApos100",16,19,"Tcells","pos",8.78799311633569,"Necroptosis","Necroptosis"
"KEGG_hsa04217","Necroptosis",8.25911976648482,1.02303589680722e-05,0.00089856652936234,"7/82","159/17332","7132/8717/8772/3717/841/3459/3460","TNFRSF1A/TRADD/FADD/JAK2/CASP8/IFNGR1/IFNGR2",7,159,"Crossvalidation_Tcells_2020_Nature_Lawson_100_Mc38OVApos100",16,19,"Tcells","pos",3.04644976244449,"Necroptosis","Necroptosis"
"KEGG_hsa04217","Necroptosis",5.8779865973651,5.83857361843786e-11,1.69318634934698e-08,"12/94","159/17332","3716/6772/3459/3460/3717/7132/355/6773/5610/3454/3455/8717","JAK1/STAT1/IFNGR1/IFNGR2/JAK2/TNFRSF1A/FAS/STAT2/EIF2AK2/IFNAR1/IFNAR2/TRADD",12,159,"Crossvalidation_Tcells_2020_Nature_Lawson_100_RencaHApos100",16,19,"Tcells","pos",7.77129524151339,"Necroptosis","Necroptosis"
