"Name_pos","Score_pos","Rank_pos","HumanGene","hommel_p_pos","fdr_pos","mean_score_pos","sd_score_pos","n_screens_pos","Name_neg","Score_neg","Rank_neg","hommel_p_neg","fdr_neg","mean_score_neg","sd_score_neg","n_screens_neg","Direction","cell_type","Score","P_value","Category","Regulation"
"BTN3A1",5.67762448191676e-05,1,"BTN3A1",0.00033,1,1,NA,1,"BTN3A1",0.999943223755181,17612,1,1,-0.999886441062912,NA,1,"Pos","GammadeltaTcells",1,0.00033,"gdT cell","gdT cell***"
"SPIB",0.000113552489638335,2,"SPIB",0.00033,1,0.999886441062912,NA,1,"SPIB",0.999829671265542,17610,1,1,-0.999659323188735,NA,1,"Pos","GammadeltaTcells",0.999886441062912,0.00033,"gdT cell","gdT cell***"
"IRF1",0.000170328734457503,3,"IRF1",0.00033,1,0.999772882125823,NA,1,"IRF1",1,17613,1,1,-1,NA,1,"Pos","GammadeltaTcells",0.999772882125823,0.00033,"gdT cell","gdT cell***"
"FBXW7",0.000227104979276671,4,"FBXW7",0.00033,1,0.999659323188735,NA,1,"FBXW7",0.920683585987623,16216,1,1,-0.841358164887577,NA,1,"Pos","GammadeltaTcells",0.999659323188735,0.00033,"gdT cell","gdT cell***"
"BTN2A1",0.000283881224095838,5,"BTN2A1",0.00033,1,0.999545764251647,NA,1,"BTN2A1",0.999886447510362,17611,1,1,-0.999772882125823,NA,1,"Pos","GammadeltaTcells",0.999545764251647,0.00033,"gdT cell","gdT cell***"
"RFXAP",0.000340657468915006,6,"RFXAP",0.00033,1,0.999432205314558,NA,1,"RFXAP",0.990859024584114,17452,1,1,-0.981717011128776,NA,1,"Pos","GammadeltaTcells",0.999432205314558,0.00033,"gdT cell","gdT cell***"
"ACAT2",0.000397433713734173,7,"ACAT2",0.00033,1,0.99931864637747,NA,1,"ACAT2",0.999716118775904,17608,1,1,-0.999432205314558,NA,1,"Pos","GammadeltaTcells",0.99931864637747,0.00033,"gdT cell","gdT cell***"
"NLRC5",0.000454209958553341,8,"NLRC5",0.00033,1,0.999205087440382,NA,1,"NLRC5",0.999772895020723,17609,1,1,-0.999545764251647,NA,1,"Pos","GammadeltaTcells",0.999205087440382,0.00033,"gdT cell","gdT cell***"
"SQLE",0.000510986203372509,9,"SQLE",0.00033,1,0.999091528503293,NA,1,"SQLE",0.999489013796627,17604,1,1,-0.998977969566205,NA,1,"Pos","GammadeltaTcells",0.999091528503293,0.00033,"gdT cell","gdT cell***"
"BTN3A2",0.000567762448191676,10,"BTN3A2",0.00033,1,0.998977969566205,NA,1,"BTN3A2",0.998807698858797,17592,1,1,-0.997615262321145,NA,1,"Pos","GammadeltaTcells",0.998977969566205,0.00033,"gdT cell","gdT cell***"
"SPI1",0.000624538693010844,11,"SPI1",0.00033,1,0.998864410629116,NA,1,"SPI1",0.999545790041447,17605,1,1,-0.999091528503293,NA,1,"Pos","GammadeltaTcells",0.998864410629116,0.00033,"gdT cell","gdT cell***"
"IRF9",0.000681314937830012,12,"IRF9",0.00033,1,0.998750851692028,NA,1,"IRF9",0.957133935161528,16858,1,1,-0.914263002498297,NA,1,"Pos","GammadeltaTcells",0.998750851692028,0.00033,"gdT cell","gdT cell***"
"GGNBP2",0.00073809118264918,13,"GGNBP2",0.00033,1,0.99863729275494,NA,1,"GGNBP2",0.996763754045307,17556,1,1,-0.993527140585964,NA,1,"Pos","GammadeltaTcells",0.99863729275494,0.00033,"gdT cell","gdT cell***"
"IRF8",0.000794867427468347,14,"IRF8",0.00033,1,0.998523733817851,NA,1,"IRF8",0.998694146369159,17590,1,1,-0.997388144446968,NA,1,"Pos","GammadeltaTcells",0.998523733817851,0.00033,"gdT cell","gdT cell***"
"SIRT1",0.000851643672287515,15,"SIRT1",0.00033,1,0.998410174880763,NA,1,"SIRT1",0.999659342531085,17607,1,1,-0.99931864637747,NA,1,"Pos","GammadeltaTcells",0.998410174880763,0.00033,"gdT cell","gdT cell***"
"BICRA",0.000908419917106682,16,"BICRA",0.000782,1,0.998296615943675,NA,1,"BICRA",0.999034803838074,17596,NA,NA,-0.998069498069498,NA,1,"Pos","GammadeltaTcells",0.998296615943675,0.000782,"gdT cell","gdT cell***"
"MYLIP",0.00096519616192585,17,"MYLIP",0.000782,1,0.998183057006586,NA,1,"MYLIP",0.999602566286266,17606,1,1,-0.999205087440382,NA,1,"Pos","GammadeltaTcells",0.998183057006586,0.000782,"gdT cell","gdT cell***"
"CREBBP",0.00102197240674502,18,"CREBBP",0.000782,1,0.998069498069498,NA,1,"CREBBP",0.998921251348436,17594,1,1,-0.997842380195321,NA,1,"Pos","GammadeltaTcells",0.998069498069498,0.000782,"gdT cell","gdT cell***"
"MGAM",0.00107874865156419,19,"MGAM",0.000782,1,0.99795593913241,NA,1,"MGAM",0.237324703344121,4180,1,1,0.52543720190779,NA,1,"Pos","GammadeltaTcells",0.99795593913241,0.000782,"gdT cell","gdT cell***"
"ZHX2",0.00113552489638335,20,"ZHX2",0.001179,1,0.997842380195321,NA,1,"ZHX2",0.999432237551808,17603,1,1,-0.998864410629116,NA,1,"Pos","GammadeltaTcells",0.997842380195321,0.001179,"gdT cell","gdT cell**"
"ZBTB7A",0.00119230114120252,21,"ZBTB7A",0.001179,1,0.997728821258233,NA,1,"ZBTB7A",0.999375461306989,17602,1,1,-0.998750851692028,NA,1,"Pos","GammadeltaTcells",0.997728821258233,0.001179,"gdT cell","gdT cell**"
