pathway,pathway_new
Alternative Mrna Splicing Via Spliceosome,Alternative mRNA Splicing via Spliceosome
"Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc",Antigen Presentation via MHC-I
Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ib,Antigen Presentation via MHC-Ib
Apoptosis,Apoptosis
Atp Synthesis Coupled Proton Transport,ATP Synthesis Coupled Proton Transport
Autophagy,Autophagy
B Cell Differentiation,B Cell Differentiation
Bard1 Pathway,BARD1 Pathway
C-Type Lectin Receptor Signaling Pathway,C-Type Lectin Receptor Signaling Pathway
Carbohydrate Biosynthetic Process,Carbohydrate Biosynthetic Process
Carbohydrate Derivative Transport,Carbohydrate Derivative Transport
Cellular Amino Acid Metabolic Process,Cellular Amino Acid Metabolic Process
Ceramide Pathway,Ceramide Pathway
Chromatin Disassembly,Chromatin Disassembly
Chromatin Remodeling,Chromatin Remodeling
Circadian Rhythm,Circadian Rhythm
Corticosteroid Receptor Signaling Pathway,Corticosteroid Receptor Signaling Pathway
Cytosolic Transport,Cytosolic Transport
Death Pathway,Death Pathway
Dna Recombination,DNA Recombination
Dna Replication,DNA Replication
Extrinsic Apoptotic Signaling Pathway,Extrinsic Apoptotic Signaling Pathway
Glycolysis,Glycolysis
Glycosylation,Glycosylation
Hdac Classi Pathway,HDAC ClassI Pathway 
Hedgehog Ligand Biogenesis,Hedgehog Ligand Biogenesis
Histone Deubiquitination,Histone Deubiquitination
Histone H4 Acetylation,Histone H4 Acetylation
Histone Ubiquitination,Histone Ubiquitination
Hswi Snf Pathway,SWI SNF Pathway
Ifna Pathway,IFNa Pathway
Ifng Pathway,IFNg Pathway
Interferon Alpha/Beta Signaling,IFNa Signaling
Interferon Gamma Signaling,IFNg Signaling
KIT PATHWAY,KIT Pathway
Lipoprotein Biosynthetic Process,Lipoprotein Biosynthetic Process 
Mrna Splicing - Major Pathway,mRNA Splicing Major Pathway
Myeloid Cell Homeostasis,Myeloid Cell Homeostasis
N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle,N-Glycan Trimming In the ER and Calnexin
Necroptosis,Necroptosis
Negative Regulation Of Catabolic Process,Negative Regulation of Catabolic Process
Negative Regulation Of Receptor Signaling Pathway Via Jak Stat,Negative Regulation of  JAK-STAT Receptor
Negative Regulation Of Tor Signaling,Negative Regulation of TOR Signaling
Neuroactive Ligand-Receptor Interaction,Neuroactive Ligand-Receptor Interaction
Nfkb Pathway,NFKb Pathway
Nod1-2 Signaling Pathway,NOD1-2 Signaling Pathway
Nucleosome Mobilization,Nucleosome Mobilization
O Glycan Processing,O Glycan Processing
P53 Regulation Pathway,P53 Regulation Pathway
