"histology_abbreviation","Sum","Freq_mut","percent_mut","percent_whole","cell_type","regulator","pathway","pathway_new"
"Skin-Melanoma",106,39,0.367924528301887,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"ColoRect-AdenoCA",52,12,0.230769230769231,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Head-SCC",57,13,0.228070175438596,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Lung-SCC",48,10,0.208333333333333,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Eso-AdenoCA",98,19,0.193877551020408,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Lung-AdenoCA",38,7,0.184210526315789,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Bladder-TCC",23,3,0.130434782608696,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Kidney-RCC",143,18,0.125874125874126,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Biliary-AdenoCA",33,4,0.121212121212121,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Liver-HCC",315,37,0.117460317460317,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Cervix-SCC",18,2,0.111111111111111,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Stomach-AdenoCA",69,7,0.101449275362319,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Bone-Epith",10,1,0.1,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Uterus-AdenoCA",40,4,0.1,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Ovary-AdenoCA",112,11,0.0982142857142857,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Lymph-BNHL",107,9,0.0841121495327103,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Breast-AdenoCA",198,14,0.0707070707070707,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Panc-Endocrine",85,6,0.0705882352941176,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"SoftTissue-Leiomyo",15,1,0.0666666666666667,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Panc-AdenoCA",237,14,0.0590717299578059,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"SoftTissue-Liposarc",19,1,0.0526315789473684,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
